"codigo_dane","mat","soc","fil","bio","qui","fis","ing","len","total.evaluados","nombre_col","lon","lat","tipo"
"111001098841",43,44,40,46,47,47,43,48,81,"CENTRO EDUCATIVO DISTRITAL DON BOSCO II",-74.1190863139999,4.5015957588522,"concesión"
"111001098850",46,45,40.5,45,45,47,43,47,70,"CENTRO EDUCATIVO DISTRITAL DON BOSCO IV",-74.1088091239999,4.50233643885221,"concesión"
"111001098868",44,43,39.5,43.5,43,43.5,43,46,44,"INSTITUCION EDUCATIVA DISTRITAL NUEVO MONTEBLANCO",-74.1187799639999,4.50385561785212,"oficial"
"111001098876",46,44.5,40,45,45,44,43,48,160,"COLEGIO CAFAM LA ESPERANZA",-74.2050941949999,4.60961652584871,"concesión"
"111001098884",45,44,40,44.5,41.5,42,43,48,196,"CENTRO EDUCATIVO DISTRITAL CAFAM LOS NARANJOS",-74.1949055669999,4.60901155084869,"concesión"
"111001098892",43.5,44,39,45,43,44,43,47,172,"INSTITUCION EDUCATIVA CENTRO EDUCATIVO DISTRITAL CAFAM BELLAVISTA",-74.1726375999999,4.64533308184756,"concesión"
"111001098906",43,44,39,45,45,43,43,47,87,"COLEGIO EDUARDO UMAÑA LUNA I.E.D.",-74.1721057569999,4.63338292484795,"oficial"
"111001098922",46,48,41,48,47,47,43,49,134,"CENTRO EDUCATIVO DISTRITAL COLSUBSIDIO LAS MERCEDES",-74.1253384889999,4.70068137584576,"concesión"
"111001098931",46.5,49,43,49,50,47,47,52,128,"CENTRO EDUCATIVO DISTRITAL COLSUBSIDIO TORQUIGUA",-74.1434115369999,4.72176185484505,"concesión"
"111001098949",47,46,40,47,45.5,46,45,48,80,"CENTRO EDUCATIVO DISTRITAL DON BOSCO V",-74.1073609899999,4.75024367484415,"concesión"
"111001098965",43,47,43,45,45,46,45,50,99,"CENTRO EDUCATIVO DISTRITAL CAFAM SANTA LUCIA",-74.1185063599999,4.57435456684984,"concesión"
"111001098973",43,43,39,41,43,44,43,45,65,"CENTRO EDUCATIVO DISTRITAL DON BOSCO I",-74.1453417299999,4.53727540585104,"concesión"
"111001100013",54,52,46,50,54,53,47,54,69,"CENTRO EDUCATIVO DISTRITAL CALASANZ",-74.1401713219999,4.54033971585095,"concesión"
"111001100021",44,46,40,46,45,46,43,48,79,"CED GIMNASIO SABIO CALDAS",-74.1636725859999,4.56758477085004,"concesión"
"111001100030",44,45,42,45,45,45,45,50,69,"CENTRO EDUCATIVO DISTRITAL LA GIRALDA",-74.0788700359999,4.58357179784957,"concesión"
"111001100048",44,45,41,45,45,44,43,49,131,"CENTRO EDUCATIVO DISTRITAL HERNANDO DURAN DUSSAN",-74.172628303,4.63473883084786,"concesión"
"111001100056",47,48,41,49,51,47,47,52,114,"CENTRO EDUCATIVO DISTRITAL JAIME HERNANDO GARZON FORERO",-74.1759702769999,4.62557271284817,"concesión"
"111001100064",47,49,43,48,50,47,47,50,109,"CENTRO EDUCATIVO DISTRITAL ARGELIA ASOCIACION ALIANZA EDUCATIVA",-74.1859692899999,4.61186848984862,"concesión"
"111001100072",49.5,48,43,47.5,46.5,47,45,50,104,"CENTRO EDUCATIVO DISTRITAL SANTIAGO DE LAS ATALAYAS",-74.1932401059999,4.62879903884807,"concesión"
"111001100081",47,47,41,47,49,47,46,50,103,"CENTRO EDUCATIVO DISTRITAL MIRAVALLES",-74.1195000679999,4.51396180685179,"concesión"
"111001102008",47,48,41,45,46,50,43,49,97,"INSTITUCION EDUCATIVA DISTRITAL JUAN LUIS LONDOÑO",-74.1145541459999,4.53120890685125,"concesión"
"111001102016",46,46,40,46,45,44,43,48,216,"CENTRO EDUCATIVO DISTRITAL ALDEMAR ROJAS PLAZAS",-74.0906800719999,4.57956844584966,"oficial"
"111001102091",43,43,40,44,43,44,43,47,167,"INSTITUCION EDUCATIVA DISTRITAL COLOMBIA VIVA",-74.1095179609999,4.54758816785071,"oficial"
"111001102199",46,46.5,41,45.5,45.5,45,43,49,236,"INSTITUCION EDUCATIVA DISTRITAL PABLO NERUDA",-74.1489619469999,4.67262346084664,"oficial"
"111001104043",51,49,45.5,49,48,50,45,51,82,"INSTITUCION EDUCATIVA DISTRITAL COLEGIO FE Y ALEGRIA JOSE MARIA VELAZ",-74.1121187659999,4.7443864208443,"concesión"
"111001104051",49.5,47,43,47,49,47,45,49.5,106,"INSTITUCION EDUCATIVA DISTRITAL FE Y ALEGRIA SAN IGNACIO",-74.1893485729999,4.63345457184792,"concesión"
"111001104183",43,44,41,44,45,47,43,48,235,"INSTITUCION EDUCATIVA DISTRITAL LEONARDO POSADA PEDRAZA",-74.2012036969999,4.6269996908481,"oficial"
"111001104256",46,44,40,44,45,47,43,48,205,"COLEGIO DELIA ZAPATA OLIVELLA INSTITUCION EDUCATIVA DISTRITAL",-74.1130643579999,4.75268467884406,"oficial"
"111001104264",43.5,45.5,39.5,46,45,47,45,48.5,140,"COLEGIO GERARDO MOLINA RAMIREZ INSTITUCION EDUCATIVA DISTRITAL",-74.1154522929999,4.74897864484418,"oficial"
"111001104272",49,47,43,47,48,50,46.5,50,140,"COLEGIO CARLO FEDERICI INSTITUCION EDUCATIVA DISTRITAL",-74.1593316269999,4.67186413384669,"oficial"
"111001104281",46,47,41,46,45,47,43,48,248,"COLEGIO GABRIEL BETANCOURT MEJIA INSTITUCION EDUCATIVA DISTRITAL SEDE B",-74.156565655,4.64480904984754,"oficial"
"111001104299",44,45.5,41,44,45,44,43,48,200,"COLEGIO ALFONSO REYES ECHANDIA INSTITUCION EDUCATIVA DISTRITAL",-74.2004101869999,4.61571849184848,"oficial"
"111001104302",44,44,39,44,43,44,43,47,217,"COLEGIO ORLANDO HIGUITA ROJAS INSTITUCION EDUCATIVA DISTRITAL",-74.1845734549999,4.62292382184827,"oficial"
"111001104329",44,44,40,44,45,46,43,47,264,"COLEGIO CARLOS PIZARRO LEON GOMEZ - INSTITUCION EDUCATIVA DISTRITAL",-74.2042402589999,4.63579487584787,"oficial"
"111001104337",41,43,38,43,43,44,42,46,141,"COLEGIO INSTITUCION EDUCATIVA DISTRITAL EDUARDO UMAÑA MENDOZA",-74.1129711319999,4.48956387285261,"oficial"
"111001104388",46,47,44,47,48,47,45,48.5,112,"COLEGIO GONZALO ARANGO INSTITUCION EDUCATIVA DISTRITAL",-74.0953700079999,4.7297955698448,"oficial"
"111001104558",46,46,41,46,47,46,43,48,203,"COLEGIO CODEMA I.E.D.",-74.1654124859999,4.64842473884743,"oficial"
"111001106950",43,45,40,46,45,47,42.5,48,242,"COLEGIO ALFONSO LOPEZ MICHELSEN I.E.D.",-74.2063840089999,4.63114843484799,"oficial"
"111001106968",44,42,39,44,43,44,43,45,151,"INSTITUCION EDUCATIVA DISTRITAL JOSE FRANCISCO SOCARRAS",-74.1947804459999,4.62618654484814,"oficial"
"111001106984",46,46,41,46,46,47,43,50,247,"COLEGIO GENERAL GUSTAVO ROJAS PINILLA INSTITUCION EDUCATIVA DISTRITAL",-74.1392503399999,4.65241110484729,"oficial"
"111001107069",46,45,41,46,47,44,43,50,259,"COLEGIO VIRGINIA GUTIERREZ DE PINEDA INSTITUCION EDUCATIVA DISTRITAL",-74.0919821499999,4.73084385284475,"oficial"
"111001107077",43,46,39.5,45,46.5,46,43,47,126,"COLEGIO VEINTIUN ANGELES INSTITUCION EDUCATIVA DISTRITAL",-74.0758083769999,4.73780259584451,"oficial"
"111001107115",43,43,36,41,43,43.5,40,45,62,"COLEGIO JOSÉ MARIA VARGAS VILA INSTITUCION EDUCATIVA DISTRITAL",-74.1616725369999,4.54289796485087,"oficial"
"111001107743",44,44,40,45,45,47,43,47,214,"COLEGIO SALUDCOOP NORTE INSTITUCION EDUCATIVA DISTRITAL",-74.0299808619999,4.80005941484252,"oficial"
"111001107760",46,46,40,45,45,44,43,48,246,"COLEGIO PAULO FREIRE INSTITUCION EDUCATIVA DISTRITAL",-74.1167068629999,4.53271861485121,"oficial"
"111001107778",47,48,43,46,47,47,43,48.5,108,"COLEGIO SALUDCOOP SUR INSTITUCION EDUCATIVA DISTRITAL",-74.1644754569999,4.64234119584764,"oficial"
"111001107794",43,43,40,44,45,44,43,47,115,"COLEGIO MARIA CANO INSTITUCION EDUCATIVA DISTRITAL",-74.1008952669999,4.5794879138497,"oficial"
"111001107816",44,46,40,45,45,47,43,48,212,"COLEGIO CUNDINAMARCA INSTITUCION EDUCATIVA DISTRITAL",-74.1694652069999,4.59015624284935,"oficial"
"111001107832",43,45,40,45,45,46,42,47,171,"COLEGIO GERMAN ARCINIEGAS INSTITUCION EDUCATIVA DISTRITAL",-74.1854656319999,4.63003784184806,"oficial"
"111001107859",46,46,41,46,47,50,43,50,113,"COLEGIO ANTONIO GARCIA INSTITUCION EDUCATIVA DISTRITAL",-74.1394776559999,4.54448882785081,"oficial"
"111001107867",43,42,38,44,43,44,43,47,93,"COLEGIO KIMY PERNIA DOMICO I. E. D.",-74.2078697339999,4.62175631984833,"oficial"
"111001107875",44,46,40,45,45,46,43,48,360,"COLEGIO CIUDADELA EDUCATIVA DE BOSA INSTITUCION EDUCATIVA DISTRITAL",-74.1877813919999,4.64063198384766,"oficial"
"111001107883",44,45,39,44,45,47,43,48,171,"COLEGIO DEBORA ARANGO PEREZ  I.E.D.",-74.1834471679999,4.61806063784845,"oficial"
"111001108456",44,45,40,45,45,44,43,48,141,"COLEGIO TOMAS CIPRIANO DE MOSQUERA INSTITUCION EDUCATIVA DISTRITAL",-74.1362129809999,4.70674719684555,"oficial"
"111001108901",43,46,41,45,45,44,43,48,150,"COLEGIO DISTRITAL CHARRY",-74.1201212929999,4.71361659484533,"oficial"
"111001109304",41,43.5,37,44,43,44,42,45,70,"COLEGIO FANNY MIKEY IED",-74.1529351119999,4.54952395585067,"oficial"
"111001109550",54,49,46,49,51,50,50,52,186,"COLEGIO BOLIVIA INSTITUCION EDUCATIVA DISTRITAL",-74.1081198169999,4.71997064684512,"oficial"
"111102000265",43,43,38,44,41,41.5,42,47,166,"COLEGIO LUIS LOPEZ DE MESA INSTITUCION EDUCATIVA DISTRITAL",-74.1861669429999,4.60020756384901,"oficial"
"111102000281",44,44,39,44,43,44,43,47.5,220,"CENTRO EDUCATIVO DISTRITAL PABLO DE TARSO",-74.1869778589999,4.60369676184891,"oficial"
"111102000621",44,44,40,46,45,47,43,48,109,"INSTITUCION EDUCATIVA DISTRITAL FRANCISCO DE PAULA SANTANDER",-74.1845729249999,4.61081093484867,"oficial"
"111102000753",44,44,40,44,45,46,43,47,435,"COLEGIO DISTRITAL NOCTURNO FERNANDO MAZUERA VILLEGAS",-74.1964373629999,4.61489615284853,"oficial"
"111102000958",44,46,40,45,46,44,47,48,135,"CENTRO EDUCATIVO DISTRITAL PORFIRIO BARBA JACOB",-74.1937166229999,4.61209407784859,"oficial"
"111265000017",46,45.5,41,46,46,47,45,48,164,"INSTITUCION EDUCATIVA DISTRITAL LA PALESTINA",-74.0929581729999,4.69676524484585,"oficial"
"111265000025",46,47,40,44,47,47,43,48,219,"INSTITUCION EDUCATIVA DISTRITAL GENERAL SANTANDER",-74.1413213619999,4.7144489118453,"oficial"
"111265000343",40,42,37,41,41,41,42,45,99,"CENTRO EDUCATIVO DISTRITAL ANTONIO VILLAVICENCIO",-74.1344741499999,4.70507485384561,"oficial"
"111265000394",46,46,40,47,47,47,43,48,145,"COLEGIO DISTRITAL SIMON BOLIVAR",-74.0951194869999,4.70866133684549,"oficial"
"111265000408",46,46,42,47,47,44,43,50,208,"COLEGIO NACIONAL NIDIA QUINTERO DE TURBAY",-74.1052650649999,4.69981249484576,"oficial"
"111279000061",47,47,41,47,48,47,45,49,125,"INSTITUCION EDUCATIVA DISTRITAL ANTONIO VAN UDEN LA ESTACION SAN VICENTE",-74.1615841879999,4.692374630846,"oficial"
"111279000125",47,46,41,47,47,47,47,50,201,"INSTITUCION EDUCATIVA DISTRITAL VILLEMAR EL CARMEN",-74.1205827249999,4.67212554084667,"oficial"
"111279000168",46,45,41,47,48,47,43,48,175,"CENTRO EDUCATIVO DISTRITAL INSTITUTO TECNICO INTERNACIONAL",-74.1452769829999,4.68730350284617,"oficial"
"111279000184",47,46,41,47,48,50,50,50,75,"INSTITUCION EDUCATIVA DISTRITAL LUIS ANGEL ARANGO",-74.1389253679999,4.68419382884624,"oficial"
"111279000362",43,44,41,46,45,44,43,48,316,"INSTITUCION EDUCATIVA DISTRITAL  COSTA RICA",-74.1269519089999,4.68216864284634,"oficial"
"111279000966",43,43,40,44,41,43,42,46,225,"INSTITUCION EDUCATIVA DISTRITAL INTEGRADO DE FONTIBON",-74.1531152249999,4.68273862484632,"oficial"
"111279001296",46,44,40.5,45,46,47,43,47,84,"COLEGIO ATAHUALPA INSTITUCION EDUCATIVA DISTRITAL",-74.1483311889999,4.68804476584616,"oficial"
"111769000174",43,43,38,44,43,41,42,47,167,"INSTITUCION EDUCATIVA DISTRITAL SIMON BOLIVAR",-74.0845658709999,4.7412385068444,"oficial"
"111769000247",46,44,40,45,45,47,43,48,175,"INSTITUCION EDUCATIVA DISTRITAL EL SALITRE-SUBA",-74.0765087809999,4.75937075384385,"oficial"
"111769000956",46,46,41,46,45,46,43,50,141,"COLEGIO PRADO VERANIEGO INSTITUCION EDUCATIVA DISTRITAL",-74.0568987709999,4.71883549284516,"oficial"
"111769001502",47,48,43,47,48,47,45,50,142,"COLEGIO DISTRITAL ANIBAL FERNANDEZ DE SOTO",-74.0544649719999,4.72685312584485,"oficial"
"111769001871",46,49,43,47,47,50,46,52,69,"COLEGIO NUEVA ZELANDIA INSTITUCION EDUCATIVA DISTRITAL",-74.0614790459999,4.76237000284372,"oficial"
"111769003114",46,47,40.5,46,45.5,47,43,48,118,"INSTITUCION EDUCATIVA DISTRITAL VISTA BELLA",-74.0481815459999,4.74987561884415,"oficial"
"111769003122",46,45,40,45,45,44,43,48,99,"COLEGIO VILLA ELISA I. E. D",-74.0886120819999,4.73426045384467,"oficial"
"111769003360",46,46,41,46,47,47,43,50,224,"COLEGIO REPUBLICA DOMINICANA  I. E. D.",-74.1087312899999,4.73874560284447,"oficial"
"111769003416",43,44,40,45,43,44,43,47,304,"INSTITUCION EDUCATIVA DISTRITAL JUAN LOZANO Y LOZANO",-74.0842598129999,4.7383458578445,"oficial"
"111769003424",41,43,40,44,43,44,43,46,237,"INSTITUCION EDUCATIVA DISTRITAL GERARDO PAREDES LA FRONTERA SAN CAYETANO",-74.0928031169999,4.71868587984515,"oficial"
"111848002662",49,48,42,47,47,47,43,50,155,"CENTRO EDUCATIVO DISTRITAL USAQUEN",-74.0346646699999,4.70561640384558,"oficial"
"111848002689",46,44,40,45,46,44,43,48,115,"COLEGIO DIVINO MAESTRO I.E.D.",-74.0237928079999,4.73891569684446,"oficial"
"111848003031",43,44,40,44,43,44,43,47,233,"COLEGIO DISTRITAL CRISTOBAL COLON",-74.0211889009999,4.73883384984448,"oficial"
"111848003910",44,47,42,46,45,46.5,43,50,66,"COLEGIO DISTRITAL GENERAL SANTANDER",-74.0282355009999,4.7349934068446,"oficial"
"111850000740",44,47,42,47,47,47,43,50,91,"COLEGIO FRANCISCO ANTONIO ZEA DE USME I.E.D.",-74.1210511169999,4.47334741185314,"oficial"
"111850001380",43,44,38.5,44,43,46,43,47,102,"INSTITUCION EDUCATIVA DISTRITAL EL CORTIJO - VIANEY",-74.1190856779999,4.51513692185178,"oficial"
"111850001428",43,43,38,43,43,43,42,47,306,"CENTRO DE EDUCACION DIVERSIFICADA DISTRITAL ALMIRANTE PADILLA",-74.1137355349999,4.51152085085188,"oficial"
"111850001461",44,43,40,44,44,46,43,46,54,"INSTITUCION EDUCATIVA DISTRITAL LOS TEJARES",-74.1084121439999,4.51313860885184,"oficial"
"111850001576",43,44,40,44,42,43,42,47,159,"COLEGIO FEDERICO GARCIA LORCA INSTITUCION EDUCATIVA DISTRITAL",-74.1074127229999,4.50700073085204,"oficial"
"211001032501",41,43,36,43,43,44,43,43,43,"CENTRO EDUCATIVO DISTRITAL LAS VIOLETAS",-74.0917043849999,4.5043419538521,"oficial"
"211001065271",41,43,34,41,45,47,42,45,13,"COLEGIO DISTRITAL EL VERJON BAJO",-74.0206913419999,4.60573713484884,"oficial"
"211001076346",38,44,40,47,45,43,40,47,17,"INSTITUCION EDUCATIVA DISTRITAL CAMPESTRE JAIME GARZON",-74.1468939169999,4.21179820486169,"oficial"
"211001076958",43,43.5,40,44,43,44,43,46,162,"INSTITUCION EDUCATIVA DISTRITAL JOSE FRANCISCO SOCARRAS",-74.2006990959999,4.6252912668482,"oficial"
"211001094832",43,43,40,44,43,44,43,47,121,"COLEGIO CIUDAD DE VILLAVICENCIO I. E. D.",-74.1022705119999,4.49409198785249,"oficial"
"211102000201",43.5,43,37,41,44,44,42,47,98,"INSTITUCION EDUCATIVA DISTRITAL SAN BERNARDINO",-74.2043560969999,4.61798712484843,"oficial"
"211102000243",44,45,40,45,45,44,42,47,299,"INSTITUCION EDUCATIVA DISTRITAL EL PORVENIR",-74.1830245179999,4.63613958684783,"oficial"
"211102000995",46,45.5,38,45,45,46,43,46.5,76,"COLEGIO BOSANOVA I.E.D ",-74.1883660869999,4.62272477584825,"oficial"
"211769003151",49,47,43,47,47,50,45,52,189,"CHORRILLOS IED  - NICOLAS BUENAVENTURA",-74.0912204939999,4.784619355843,"oficial"
"211850000051",43,43,39,45,39,43,43,45,51,"COLEGIO GRAN YOMASA  INSTITUCION EDUCATIVA DISTRITAL",-74.1097635019999,4.50870030085201,"oficial"
"211850000787",42,46,39,44,46,47,42.5,47,74,"INSTITUCION EDUCATIVA DISTRITAL TENERIFE - GRANADA SUR",-74.1154471309999,4.50736277485201,"oficial"
"211850000876",44,46,39.5,46,46.5,47,43,47,36,"INSTITUCION EDUCATIVA  DISTRITAL EL DESTINO",-74.1381474959999,4.40149288385546,"oficial"
"211850000981",41,42,38,43,39,41,39,45,34,"COLEGIO RURAL EL UVAL I.E.D. ",-74.1029561799999,4.47762206985298,"oficial"
"211850001121",44,46,38,46,47,47,42,47,69,"CENTRO EDUCATIVO DISTRITAL RURAL PASQUILLA",-74.158113909,4.44761263785397,"oficial"
"211850001171",44,44.5,40,45.5,45,44,43,49.5,34,"INSTITUCION EDUCATIVA DISTRITAL RURAL QUIBA ALTA",-74.1685358309999,4.51716242485168,"oficial"
"211850001317",44,44,40,43,43,44,42,47,59,"COLEGIO RURAL JOSE CELESTINO MUTIS  I.E.D",-74.152313638,4.51059990785193,"oficial"
"211850001473",40,44,36,43,41,40,39,45,49,"INSTITUCION EDUCATIVA DISTRITAL GIMNASIO DEL CAMPO JUAN DE LA CRUZ VARELA",-74.3288769409999,4.09267359086553,"oficial"
"211850001481",44,44,38,45,45,44,43,48,120,"INSTITUCION EDUCATIVA  FABIO LOZANO SIMOLELLI",-74.1149231049999,4.53778967485103,"oficial"
"311001026441",40,42,39,41,41,41,42,46,67,"CENTRO EDUCATIVO DISTRITAL LOS PINOS",-74.0663662699999,4.58732176284945,"oficial"
"311001075034",43,41,37,41.5,41,44,40,46,40,"COLEGIO CANADA INSTITUCION EDUCATIVA DISTRITAL",-74.1546825969999,4.54092740285094,"oficial"
